0.jpg,pštros dvouprstý
1.jpg,nandu pampový
2.jpg,emu hnědý
3.jpg,kasuár přílbový
4.jpg,kivi jižní
5.jpg,tinama velká
6.jpg,tučňák císařský
7.jpg,tučňák patagonský
8.jpg,tučňák Humboldtův
9.jpg,tučňák kroužkový
10.jpg,potáplice lední
11.jpg,potápka roháč
12.jpg,albatros
13.jpg,pelikán bílý
14.jpg,terej bílý
15.jpg,kormorán velký
16.jpg,volavka popelavá
17.jpg,bukač velký
18.jpg,člunozobec
19.jpg,čáp bílý
20.jpg,čáp černý
21.jpg,ibis posvátný
22.jpg,kolpík bílý
23.jpg,plameňák
24.jpg,kondor andský
25.jpg,orlovec říční
26.jpg,sup bělohlavý
27.jpg,krahujec obecný
28.jpg,jestřáb lesní
29.jpg,káně lesní
30.jpg,harpyje
31.jpg,orel mořský
32.jpg,hadilov písař
33.jpg,poštolka obecná
34.jpg,ostříž lesní
35.jpg,sokol stěhovavý
36.jpg,labuť velká
37.jpg,labuť černá
38.jpg,husa velká
39.jpg,kachnička mandarínská
40.jpg,kopřivka obecná
41.jpg,čírka obecná
42.jpg,kachna divoká
43.jpg,zrzohlávka rudozobá
44.jpg,polák chocholačka
45.jpg,hohol severní
46.jpg,krocan divoký
47.jpg,tetřev hlušec
48.jpg,tetřívek obecný
49.jpg,koroptev polní
50.jpg,křepelka polní
51.jpg,kur bankivský
52.jpg,kur domácí
53.jpg,bažant obecný
54.jpg,páv korunkatý
55.jpg,perlička kropenatá
56.jpg,holub skalní
57.jpg,holub hřivnáč
58.jpg,holub královský
59.jpg,hrdlička zahradní
60.jpg,dronte mauricijský
61.jpg,jeřáb popelavý
62.jpg,chřástal vodní
63.jpg,lyska černá
64.jpg,drop velký
65.jpg,čejka chocholatá
66.jpg,sluka lesní
67.jpg,racek chechtavý
68.jpg,racek mořský
69.jpg,alka malá
70.jpg,papuchalk severní
71.jpg,lori mnohobarvý
72.jpg,kakadu žlutočečelatý
73.jpg,korela chocholatá
74.jpg,andulka vlnkovaná
75.jpg,papoušek šedý
76.jpg,ara hyacintový
77.jpg,ara ararauna
78.jpg,amazoňan
79.jpg,kakapo soví
80.jpg,kukačka obecná
81.jpg,rorýs obecný
82.jpg,kolibřík
83.jpg,sova pálená
84.jpg,výr velký
85.jpg,sovice sněžní
86.jpg,puštík obecný
87.jpg,sýček obecný
88.jpg,kalous ušatý
89.jpg,lelek lesní
90.jpg,ledňáček říční
91.jpg,vlha pestrá
92.jpg,dudek chocholatý
93.jpg,tukan obrovský
94.jpg,datel černý
95.jpg,strakapoud velký
96.jpg,žluna zelená
97.jpg,skřivan polní
98.jpg,vlaštovka obecná
99.jpg,jiřička obecná
100.jpg,konipas bílý
101.jpg,ťuhýk obecný
102.jpg,brkoslav severní
103.jpg,červenka obecná
104.jpg,kos černý
105.jpg,drozd kvíčala
106.jpg,rákosník obecný
107.jpg,sýkora koňadra
108.jpg,sýkora modřinka
109.jpg,pěnkava obecná
110.jpg,stehlík obecný
111.jpg,hýl rudý
112.jpg,křivka obecná
113.jpg,dlask tlustozobý
114.jpg,vrabec domácí
115.jpg,špaček obecný
116.jpg,sojka obecná
117.jpg,straka obecná
118.jpg,kavka obecná
119.jpg,havran polní
120.jpg,vrána obecná
121.jpg,krkavec velký
122.jpg,ptakopysk podivný
123.jpg,ježura australská
124.jpg,vačice opossum
